seqsend_time,receive_time,latency_ms,payload_size_bytes
50,1782070072.3045263,1782070072.3169084,12.382030487060547,256
51,1782070072.4048731,1782070072.4172692,12.396097183227539,256
52,1782070072.5052137,1782070072.5174267,12.212991714477539,256
53,1782070072.6055593,1782070072.61806,12.500762939453125,256
54,1782070072.7059143,1782070072.717421,11.506795883178711,256
55,1782070072.8062758,1782070072.8180163,11.740446090698242,256
56,1782070072.9066985,1782070072.9187064,12.007951736450195,256
57,1782070073.0072582,1782070073.019493,12.234926223754883,256
58,1782070073.107641,1782070073.120216,12.574911117553711,256
59,1782070073.2080224,1782070073.2208366,12.81428337097168,256
60,1782070073.3083825,1782070073.3254352,17.052650451660156,256
61,1782070073.4087274,1782070073.421009,12.281656265258789,256
62,1782070073.5090652,1782070073.5213852,12.32004165649414,256
63,1782070073.609402,1782070073.6213198,11.917829513549805,256
64,1782070073.7097561,1782070073.7255127,15.756607055664062,256
65,1782070073.8101058,1782070073.826115,16.009092330932617,256
66,1782070073.910476,1782070073.9302692,19.793272018432617,256
67,1782070074.0110326,1782070074.0243587,13.326168060302734,256
68,1782070074.1114225,1782070074.1239243,12.501716613769531,256
69,1782070074.211783,1782070074.2239892,12.206315994262695,256
70,1782070074.3121314,1782070074.333983,21.851539611816406,256
71,1782070074.4124725,1782070074.4263816,13.909101486206055,256
72,1782070074.5128095,1782070074.533825,21.015405654907227,256
73,1782070074.6131713,1782070074.6284869,15.315532684326172,256
74,1782070074.713525,1782070074.7290704,15.545368194580078,256
75,1782070074.8138697,1782070074.8312283,17.35854148864746,256
76,1782070074.9142392,1782070074.9267197,12.480497360229492,256
77,1782070075.0148292,1782070075.0273597,12.53056526184082,256
78,1782070075.115253,1782070075.1310494,15.796422958374023,256
79,1782070075.2156184,1782070075.2297595,14.141082763671875,256
80,1782070075.3159685,1782070075.3282065,12.238025665283203,256
81,1782070075.4163084,1782070075.4288743,12.565851211547852,256
82,1782070075.516648,1782070075.528915,12.266874313354492,256
83,1782070075.616997,1782070075.6292877,12.290716171264648,256
84,1782070075.7173424,1782070075.729566,12.22372055053711,256
85,1782070075.8176875,1782070075.8318126,14.12510871887207,256
86,1782070075.9180706,1782070075.9306555,12.584924697875977,256
87,1782070076.018664,1782070076.031142,12.478113174438477,256
88,1782070076.1190848,1782070076.131387,12.302160263061523,256
89,1782070076.2194457,1782070076.2321773,12.731552124023438,256
90,1782070076.3197923,1782070076.3321507,12.358427047729492,256
91,1782070076.4201314,1782070076.4361281,15.996694564819336,256
92,1782070076.5204682,1782070076.5345106,14.042377471923828,256
93,1782070076.620819,1782070076.6340995,13.280391693115234,256
94,1782070076.7211704,1782070076.7340124,12.841939926147461,256
95,1782070076.821537,1782070076.8346765,13.139486312866211,256
96,1782070076.9219234,1782070076.934789,12.865543365478516,256
97,1782070077.0225365,1782070077.0367417,14.205217361450195,256
98,1782070077.1231277,1782070077.1366565,13.528823852539062,256
99,1782070077.2235076,1782070077.2364485,12.94088363647461,256
100,1782070077.3238566,1782070077.3358097,11.953115463256836,256
1,1782070081.919872,1782070081.9277356,7.863521575927734,256
2,1782070082.0202172,1782070082.032109,11.891841888427734,256
3,1782070082.12055,1782070082.1323164,11.766433715820312,256
4,1782070082.2208116,1782070082.2331605,12.34889030456543,256
5,1782070082.321019,1782070082.331733,10.714054107666016,256
6,1782070082.4211917,1782070082.4322047,11.013031005859375,256
7,1782070082.5213642,1782070082.5364077,15.043497085571289,256
8,1782070082.621544,1782070082.6373355,15.791654586791992,256
9,1782070082.7217128,1782070082.7397,17.98725128173828,256
10,1782070082.8219087,1782070082.839197,17.2882080078125,256
11,1782070082.9221058,1782070082.9359722,13.866424560546875,256
12,1782070083.0225277,1782070083.033565,11.037349700927734,256
13,1782070083.122988,1782070083.1349654,11.977434158325195,256
14,1782070083.223191,1782070083.244021,20.82991600036621,256
15,1782070083.3233697,1782070083.338467,15.09714126586914,256
16,1782070083.423539,1782070083.4398942,16.355276107788086,256
17,1782070083.5237684,1782070083.5366802,12.911796569824219,256
18,1782070083.6241474,1782070083.6389074,14.760017395019531,256
19,1782070083.7244895,1782070083.7413564,16.86692237854004,256
20,1782070083.8248231,1782070083.843391,18.567800521850586,256
21,1782070083.9251978,1782070083.955302,30.10416030883789,256
22,1782070084.025729,1782070084.0441523,18.42331886291504,256
23,1782070084.1261392,1782070084.141486,15.346765518188477,256
24,1782070084.226542,1782070084.2392023,12.66026496887207,256
25,1782070084.3268876,1782070084.3414636,14.575958251953125,256
26,1782070084.4272165,1782070084.441184,13.967514038085938,256
27,1782070084.5275543,1782070084.5445013,16.947031021118164,256
28,1782070084.627907,1782070084.6413035,13.396501541137695,256
29,1782070084.7282343,1782070084.7406034,12.369155883789062,256
30,1782070084.8285563,1782070084.8409836,12.427330017089844,256
31,1782070084.9289088,1782070084.9415987,12.689828872680664,256
32,1782070085.0294344,1782070085.0456448,16.210317611694336,256
33,1782070085.129817,1782070085.1485112,18.694162368774414,256
34,1782070085.2301533,1782070085.24379,13.636589050292969,256
35,1782070085.33052,1782070085.343662,13.142108917236328,256
36,1782070085.43084,1782070085.44585,15.009880065917969,256
37,1782070085.5311637,1782070085.543589,12.425422668457031,256
38,1782070085.6314964,1782070085.6436048,12.108325958251953,256
39,1782070085.731838,1782070085.7438564,12.018442153930664,256
40,1782070085.8321915,1782070085.8443184,12.126922607421875,256
41,1782070085.9325898,1782070085.9459279,13.338088989257812,256
42,1782070086.0331478,1782070086.0452116,12.063741683959961,256
43,1782070086.133558,1782070086.1456757,12.117624282836914,256
44,1782070086.2339156,1782070086.2461305,12.214899063110352,256
45,1782070086.3342667,1782070086.346584,12.317419052124023,256
46,1782070086.4346457,1782070086.4470427,12.397050857543945,256
47,1782070086.534991,1782070086.54727,12.279033660888672,256
48,1782070086.635355,1782070086.6563723,21.01731300354004,256
49,1782070086.7357273,1782070086.7491984,13.471126556396484,256
50,1782070086.8360786,1782070086.849635,13.556241989135742,256
51,1782070086.9364493,1782070086.9552286,18.779277801513672,256
52,1782070087.0370023,1782070087.0505114,13.509035110473633,256
53,1782070087.1374338,1782070087.1496782,12.244462966918945,256
54,1782070087.2377996,1782070087.250117,12.317419052124023,256
55,1782070087.3381643,1782070087.3832185,45.05419731140137,256
56,1782070087.4385853,1782070087.4582186,19.63329315185547,256
57,1782070087.538949,1782070087.5599487,20.999670028686523,256
58,1782070087.6393209,1782070087.655,15.679121017456055,256
59,1782070087.7396777,1782070087.7625766,22.89891242980957,256
60,1782070087.8400278,1782070087.8622556,22.227764129638672,256
61,1782070087.9404023,1782070087.9561403,15.73801040649414,256
